"","in1995","in1996","in1997","in1998","in1999","in2000","in2001","in2002","in2003","in2004","in2005","in2006","in2007","in2008","in2009","in2010","in2011","in2012","in2013","in2014","in2015","in2016","Sample"
"1",68206,69385,68639,69489,70897,69553,66710,66053,64480,62958,61954,62394,61683,59434,57731,55698,54467,53318,52703,51740,50957,50060,"base"
"2",68206,69385,68639,69489,70897,69553,66710,66053,64480,62958,61954,62394,61683,59434,53249,50927,49652,48493,47784,47120,46135,45304,"p1a"
"3",68186,69365,68615,69460,70854,69500,66646,65978,64387,62823,61764,62060,60767,54124,52345,50581,49457,48367,47687,47043,46065,45239,"p1b"
"4",68208,69387,68642,69492,70900,69556,66713,66057,64484,62962,61958,62398,61687,59438,57564,55448,54158,52939,52226,51201,50373,49424,"p2a"
"5",68208,69387,68642,69492,70900,69556,66713,66057,64484,62962,61958,62398,61687,59438,57342,55075,53703,52408,51758,50755,49960,49011,"p2b"
"6",68206,69385,68639,69489,70897,69553,66710,66053,64480,62958,61954,62394,61683,59434,52496,51195,50372,49777,49595,49151,49157,50076,"p3a"
"7",68206,69385,68639,69489,70897,69553,66710,66053,64480,62958,61954,62394,61683,59434,55829,53955,52857,51954,51631,50978,50563,50077,"p4a"
"8",68206,69385,68639,69489,70897,69553,66710,66053,64480,62958,61954,62394,61683,59434,55829,53955,52857,51954,51631,50978,50563,50077,"p4b"
"9",68206,69385,68639,69489,70897,69553,66710,66053,64480,62958,61954,62394,61683,59434,57530,55342,54027,52810,52094,51101,50305,49398,"p5a"
"10",68206,69385,68639,69489,70897,69553,66710,66053,64480,62958,61954,62394,61683,59434,57240,54953,53560,52232,51612,50669,49925,49092,"p5b"
"11",68186,69365,68615,69460,70854,69500,66646,65978,64387,62823,61764,62060,60767,54124,46173,44866,43843,43085,42759,42522,42272,43219,"ear"
