"","year","total","TPV","p2a.rel","p2b.rel","p3a.rel","p3b.rel","p4a.rel","p4b.rel","p4c.rel","p5a.rel","p5b.rel","p2a.cum","p2b.cum","p3a.cum","p3b.cum","p4a.cum","p4b.cum","p4c.cum","p5a.cum","p5b.cum","p2a.pop","p2b.pop","p3a.pop","p3b.pop","p4a.pop","p4b.pop","p4c.pop","p5a.pop","p5b.pop"
"1",2021,42998,4695,422,806,4921,2789,4075,11673,3641,178,240,422,806,4921,2789,4075,11673,3641,178,240,42576,42192,38077,40209,38923,31325,39357,42820,42758
"2",2022,42442,4682,261,574,533,367,485,407,590,131,163,683,1380,5454,3156,4560,12080,4231,309,403,41759,41062,36988,39286,37882,30362,38211,42133,42039
"3",2023,41885,4670,170,340,367,968,478,152,549,87,110,853,1720,5821,4124,5038,12232,4780,396,513,41032,40165,36064,37761,36847,29653,37105,41489,41372
"4",2024,41328,4658,234,468,295,327,521,94,576,111,142,1087,2188,6116,4451,5559,12326,5356,507,655,40241,39140,35212,36877,35769,29002,35972,40821,40673
"5",2025,40772,4646,243,296,239,543,490,60,621,129,168,1330,2484,6355,4994,6049,12386,5977,636,823,39442,38288,34417,35778,34723,28386,34795,40136,39949
"6",2026,40215,4633,229,119,224,260,515,17,586,98,121,1559,2603,6579,5254,6564,12403,6563,734,944,38656,37612,33636,34961,33651,27812,33652,39481,39271
"7",2027,39658,4621,206,120,242,222,486,13,581,90,135,1765,2723,6821,5476,7050,12416,7144,824,1079,37893,36935,32837,34182,32608,27242,32514,38834,38579
"8",2028,39102,4609,201,96,206,196,500,9,407,90,110,1966,2819,7027,5672,7550,12425,7551,914,1189,37136,36283,32075,33430,31552,26677,31551,38188,37913
"9",2029,38545,4597,237,78,198,191,538,3,138,94,129,2203,2897,7225,5863,8088,12428,7689,1008,1318,36342,35648,31320,32682,30457,26117,30856,37537,37227
"10",2030,37988,4584,164,87,212,188,612,2,1,80,95,2367,2984,7437,6051,8700,12430,7690,1088,1413,35621,35004,30551,31937,29288,25558,30298,36900,36575
